fdc_id,description,food_category_id,is_breakfast,is_morning_snack,is_lunch,is_afternoon_snack,is_dinner,is_beverage,calories,protein,fat,cholesterol,carbohydrate,sugar,sodium,calcium,iron,potassium,vitamin_c
170517,"Pigeonpeas, immature seeds, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,111.0,5.96,1.36,0.0,19.49,2.48,240.0,41.0,1.57,456.0,28.1
170518,"Pokeberry shoots, (poke), cooked, boiled, drained, with salt",11,1,1,1,1,1,0,20.0,2.3,0.4,0.0,3.1,1.6,254.0,53.0,1.2,184.0,82.0
170520,"Potatoes, boiled, cooked without skin, flesh, with salt",11,1,1,1,1,1,0,86.0,1.71,0.1,0.0,20.01,0.89,241.0,8.0,0.31,328.0,7.4
170523,"Potatoes, french fried, all types, salt not added in processing, frozen, as purchased",11,1,1,1,1,1,0,147.0,2.24,4.66,0.0,24.81,0.2,23.0,9.0,0.62,408.0,17.3
170526,"Pumpkin, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,18.0,0.72,0.07,0.0,4.31,2.08,237.0,15.0,0.57,230.0,4.7
170527,"Pumpkin, canned, with salt",11,1,1,1,1,1,0,34.0,1.1,0.28,0.0,8.09,3.3,241.0,26.0,1.39,206.0,4.2
170528,"Rutabagas, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,30.0,0.93,0.18,0.0,6.84,3.95,254.0,18.0,0.18,216.0,18.8
170529,"Salsify, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,68.0,2.73,0.17,0.0,15.36,2.9,252.0,47.0,0.55,283.0,4.6
170531,"Spinach, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,23.0,2.97,0.26,0.0,3.75,0.43,306.0,136.0,3.57,466.0,9.8
170532,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,25.0,1.28,0.2,0.0,5.54,2.33,242.0,20.0,0.52,253.0,6.8
170533,"Squash, summer, scallop, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,16.0,1.03,0.17,0.0,3.3,1.5,237.0,15.0,0.33,140.0,10.8
170534,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,15.0,1.14,0.36,0.0,2.69,1.71,239.0,18.0,0.37,264.0,12.9
170535,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,14.0,1.15,0.13,0.0,2.97,1.69,238.0,17.0,0.48,194.0,3.7
170537,"Squash, winter, hubbard, baked, with salt",11,1,1,1,1,1,0,50.0,2.48,0.62,0.0,10.81,4.9,244.0,17.0,0.47,358.0,9.5
170538,"Squash, winter, hubbard, cooked, boiled, mashed, with salt",11,1,1,1,1,1,0,30.0,1.48,0.37,0.0,6.46,2.93,241.0,10.0,0.28,214.0,6.5
170539,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",11,1,1,1,1,1,0,27.0,0.66,0.26,0.0,6.46,2.53,254.0,21.0,0.34,117.0,3.5
170541,"Sweet potato, cooked, boiled, without skin, with salt",11,1,1,1,1,1,0,76.0,1.37,0.14,0.0,17.72,5.74,263.0,27.0,0.72,230.0,12.8
170543,"Taro, cooked, with salt",11,1,1,1,1,1,0,142.0,0.52,0.11,0.0,34.6,0.49,251.0,18.0,0.72,484.0,5.0
170545,"Tomato juice, canned, without salt added",11,1,1,1,1,1,0,17.0,0.85,0.29,0.0,3.53,2.58,10.0,10.0,0.39,217.0,70.1
170546,"Tomato products, canned, puree, with salt added",11,1,1,1,1,1,0,38.0,1.65,0.21,0.0,8.98,4.83,202.0,18.0,1.78,439.0,10.6
170547,"Turnips, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,22.0,0.71,0.08,0.0,5.06,2.99,286.0,22.0,0.22,135.0,11.6
170548,"Turnips, frozen, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,21.0,1.53,0.24,0.0,3.73,1.73,272.0,32.0,0.98,182.0,3.9
170549,"Waxgourd, (chinese preserving melon), cooked, boiled, drained, with salt",11,1,1,1,1,1,0,11.0,0.4,0.2,0.0,2.45,1.18,343.0,18.0,0.38,5.0,10.5
170551,"Yam, cooked, boiled, drained, or baked, with salt",11,1,1,1,1,1,0,114.0,1.49,0.14,0.0,26.99,0.49,244.0,14.0,0.52,670.0,12.1
170556,"Seeds, pumpkin and squash seed kernels, dried",12,1,1,1,1,1,0,559.0,30.23,49.05,0.0,10.71,1.4,7.0,46.0,8.82,809.0,1.9
170557,"Seeds, pumpkin and squash seed kernels, roasted, without salt",12,1,1,1,1,1,0,574.0,29.84,49.05,0.0,14.71,1.29,18.0,52.0,8.07,788.0,1.8
170562,"Seeds, sunflower seed kernels, dried",12,1,1,1,1,1,0,584.0,20.78,51.46,0.0,20.0,2.62,9.0,78.0,5.25,645.0,1.4
170563,"Seeds, sunflower seed kernels, dry roasted, without salt",12,1,1,1,1,1,0,582.0,19.33,49.8,0.0,24.07,2.73,3.0,70.0,3.8,850.0,1.4
170564,"Seeds, sunflower seed kernels, oil roasted, without salt",12,1,1,1,1,1,0,592.0,20.06,51.3,0.0,22.89,3.11,3.0,87.0,4.28,483.0,1.1
